OBJECTID,casenumber,LOC_ERROR,lon,lat,POINT_M,year
499,8716228,ROUTE NOT FOUND,0.00,0.00,0.00,3/20/2003
500,8617648,NO ERROR,-88.12,35.65,28.16,12/1/2003
501,8343241,ROUTE NOT FOUND,0.00,0.00,0.00,5/3/2003
502,8298698,ROUTE NOT FOUND,0.00,0.00,0.00,4/30/2003
503,8293284,NO ERROR,-90.02,35.10,7.35,10/31/2003
504,8680619,ROUTE NOT FOUND,0.00,0.00,0.00,12/17/2003
505,8538762,ROUTE NOT FOUND,0.00,0.00,0.00,12/26/2003
506,8256088,ROUTE NOT FOUND,0.00,0.00,0.00,12/16/2003
507,8774991,ROUTE NOT FOUND,0.00,0.00,0.00,12/21/2003
508,8220877,NO ERROR,-86.72,36.06,5.44,10/11/2003
509,8505006,NO ERROR,-89.93,35.06,5.32,3/5/2003
510,8211189,ROUTE NOT FOUND,0.00,0.00,0.00,4/14/2003
511,8506878,ROUTE NOT FOUND,0.00,0.00,0.00,4/24/2003
512,8721982,ROUTE NOT FOUND,0.00,0.00,0.00,5/28/2003
513,8743552,NO ERROR,-85.97,35.37,24.20,6/12/2003
514,7309719,NO ERROR,-85.08,35.45,1.02,5/12/2004
515,8448283,NO ERROR,-86.78,36.15,18.61,1/8/2003
516,8318442,ROUTE NOT FOUND,0.00,0.00,0.00,9/20/2003
517,7521568,NO ERROR,-90.00,35.12,11.18,3/5/2004
518,8381032,ROUTE NOT FOUND,0.00,0.00,0.00,5/9/2003
519,8709488,ROUTE NOT FOUND,0.00,0.00,0.00,2/18/2003
